id,year,index,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
116,2015,-39,-575,1,-575,NaN,NaN,2,NaN,NaN
117,2006,-154,-338,1,-338,155,-0.458579881656805,3,3,NaN
117,2010,-75,-200,1,-200,3,-0.015,4,NaN,NaN
118,2006,519,-108,22,-4.909090909090909,-178,1.648148148148148,NaN,NaN,NaN
118,2007,361,-158,1,-158,77,-0.487341772151899,7,9,9
119,1998,388,-221,6,-36.833333333333336,-10,0.045248868778281,10,13,NaN
119,2019,317,-242,11,-22,NaN,NaN,NaN,NaN,NaN
120,2005,272,-281,1,-281,12,-0.04270462633452,11,NaN,NaN
121,1996,695,-10,12,-0.833333333333333,-172,17.2,17,17,17
121,1998,518,-177,2,-88.5,25,-0.141242937853107,10,14,15
122,1999,76,-609,1,-609,456,-0.748768472906404,1,12,NaN
123,2019,269,-95,29,-3.275862068965517,NaN,NaN,NaN,NaN,NaN
124,1998,192,-104,14,-7.428571428571429,-56,0.538461538461538,1,1,1
124,2002,102,-451,3,-150.33333333333334,359,-0.796008869179601,2,2,NaN
124,2019,461,-34,15,-2.266666666666667,NaN,NaN,NaN,NaN,NaN
125,1998,617,-56,14,-4,-207,3.696428571428572,16,16,16
125,1999,410,-207,1,-207,0,-0,15,15,15
126,2011,520,-82,26,-3.153846153846154,-112,1.365853658536585,NaN,NaN,NaN
126,2012,328,-192,1,-192,80,-0.416666666666667,NaN,NaN,NaN
127,2002,249,-316,1,-316,203,-0.642405063291139,2,8,NaN
128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,1990,226,-206,1,-206,391,-1.898058252427185,1,1,1
129,2019,509,-108,28,-3.857142857142857,NaN,NaN,NaN,NaN,NaN
130,2000,349,-273,1,-273,41,-0.15018315018315,NaN,NaN,NaN
131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
132,2009,42,-211,5,-42.2,193,-0.914691943127962,1,1,1
132,2015,41,-401,5,-80.2,NaN,NaN,1,NaN,NaN
132,2019,127,-213,3,-71,NaN,NaN,NaN,NaN,NaN
133,1995,738,-15,11,-1.363636363636364,-115,7.666666666666667,14,14,14
133,1996,456,-282,1,-282,194,-0.687943262411348,5,9,13
133,2019,726,-3,14,-0.214285714285714,NaN,NaN,NaN,NaN,NaN
134,2015,231,-478,1,-478,NaN,NaN,3,NaN,NaN
135,1985,38,-301,1,-301,60,-0.199335548172757,11,NaN,NaN
135,2005,-147,-303,1,-303,-19,0.062706270627063,NaN,NaN,NaN
136,2000,289,-139,1,-139,71,-0.510791366906475,3,3,6
136,2011,233,-201,2,-100.5,216,-1.074626865671642,2,2,4
137,1990,-100,-688,6,-114.66666666666667,882,-1.281976744186047,1,1,4
137,1998,36,-746,3,-248.66666666666666,83,-0.111260053619303,1,1,1
137,2019,130,-723,2,-361.5,NaN,NaN,NaN,NaN,NaN
138,1993,-435,-752,1,-752,340,-0.452127659574468,8,15,NaN
138,2019,135,-68,11,-6.181818181818182,NaN,NaN,NaN,NaN,NaN
139,1993,235,-359,1,-359,401,-1.116991643454039,2,3,3
139,2000,395,-298,4,-74.5,314,-1.053691275167785,4,4,4
139,2019,625,-84,15,-5.6,NaN,NaN,NaN,NaN,NaN
140,2000,29,-88,14,-6.285714285714286,203,-2.306818181818182,1,1,1
140,2007,221,-93,4,-23.25,-375,4.032258064516129,NaN,NaN,NaN
140,2008,-289,-510,1,-510,135,-0.264705882352941,9,NaN,NaN
141,2001,165,-572,1,-572,303,-0.52972027972028,4,13,NaN
141,2003,98,-67,2,-33.5,375,-5.597014925373134,1,1,1
142,1992,-202,-793,1,-793,443,-0.558638083228247,13,23,NaN
143,2001,311,-284,1,-284,105,-0.369718309859155,13,15,NaN
144,2012,562,-56,28,-2,-162,2.892857142857143,NaN,NaN,NaN
144,2019,362,-200,7,-28.571428571428573,NaN,NaN,NaN,NaN,NaN
145,2015,562,-46,31,-1.483870967741935,NaN,NaN,NaN,NaN,NaN
145,2016,-458,-1020,1,-1020,NaN,NaN,1,NaN,NaN
146,2019,39,-116,29,-4,NaN,NaN,NaN,NaN,NaN
147,2012,-64,-358,1,-358,87,-0.243016759776536,NaN,NaN,NaN
148,2015,-147,-736,1,-736,NaN,NaN,4,NaN,NaN
149,1989,611,-47,5,-9.4,-263,5.595744680851064,15,NaN,NaN
149,1990,127,-484,1,-484,221,-0.456611570247934,6,7,14
149,2019,529,-15,22,-0.681818181818182,NaN,NaN,NaN,NaN,NaN
150,2019,644,-71,35,-2.028571428571428,NaN,NaN,NaN,NaN,NaN
151,1998,571,-42,14,-3,-427,10.166666666666666,NaN,NaN,NaN
151,1999,-238,-809,1,-809,382,-0.472187886279357,11,NaN,NaN
151,2011,127,-17,11,-1.545454545454545,226,-13.294117647058824,1,1,1
152,1997,527,-35,13,-2.692307692307693,-116,3.314285714285715,11,11,11
152,1998,320,-207,1,-207,91,-0.439613526570048,9,9,10
153,2007,-330,-643,1,-643,404,-0.628304821150855,2,NaN,NaN
154,2008,203,-14,19,-0.736842105263158,117,-8.357142857142858,1,1,1
154,2015,162,-215,5,-43,NaN,NaN,1,1,1
154,2019,295,-86,3,-28.666666666666668,NaN,NaN,NaN,NaN,NaN
155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156,2006,-327,-703,1,-703,251,-0.357041251778094,NaN,NaN,NaN
157,2008,-211,-848,1,-848,0,-0,NaN,NaN,NaN
158,2006,-117,-550,1,-550,328,-0.596363636363636,1,NaN,NaN
158,2019,211,-45,12,-3.75,NaN,NaN,NaN,NaN,NaN
159,2015,391,-197,1,-197,NaN,NaN,NaN,NaN,NaN
160,1995,671,-30,11,-2.727272727272727,-235,7.833333333333333,NaN,NaN,NaN
160,1996,268,-403,1,-403,168,-0.416873449131514,11,11,11
161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162,2010,89,-147,1,-147,0,-0,NaN,NaN,NaN
163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,2019,522,-60,35,-1.714285714285714,NaN,NaN,NaN,NaN,NaN
165,1998,417,-204,1,-204,-58,0.284313725490196,18,18,18
