id,year,value,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
36,2003,565,-13,19,-0.684210526315789,-407.6,31.353846153846156,9,11,NaN
36,2004,-61,-626,1,-626,273,-0.436102236421725,8,10,NaN
36,2015,85,-400,1,-400,NaN,NaN,1,3,NaN
37,1998,224,-439,1,-439,283.63157894736844,-0.646085601246853,2,8,NaN
38,2001,-275,-898,1,-898,794,-0.884187082405345,4,5,13
39,1999,-506,-1043,1,-1043,943,-0.904122722914669,4,5,7
40,1999,441,-151,7,-21.571428571428573,93.33333333333337,-0.618101545253863,2,2,NaN
40,2000,156,-285,1,-285,366.7777777777778,-1.286939571150098,1,1,1
40,2019,361,-208,18,-11.555555555555555,NaN,NaN,NaN,NaN,NaN
41,1994,14,-139,6,-23.166666666666668,97.85714285714286,-0.704008221993834,4,6,8
41,2016,-361,-786,1,-786,NaN,NaN,NaN,NaN,NaN
42,1989,-90,-9,5,-1.8,234.16666666666666,-26.01851851851852,19,20,NaN
42,2009,-65,-251,18,-13.944444444444445,205.55555555555554,-0.818946436476317,1,1,1
42,2019,80,-109,9,-12.11111111111111,NaN,NaN,NaN,NaN,NaN
43,1985,92,-106,1,-106,232.1428571428571,-2.190026954177897,1,2,3
43,1993,-401,-818,1,-818,405.44,-0.495647921760391,NaN,NaN,NaN
44,2002,-21,-336,3,-112,99.33333333333334,-0.295634920634921,1,8,8
44,2009,-1,-238,6,-39.666666666666664,315.6666666666667,-1.326330532212885,1,1,1
44,2019,238,-138,9,-15.333333333333334,NaN,NaN,NaN,NaN,NaN
45,2015,561,-26,31,-0.838709677419355,NaN,NaN,NaN,NaN,NaN
45,2016,-57,-618,1,-618,NaN,NaN,NaN,NaN,NaN
45,2019,161,-37,2,-18.5,NaN,NaN,NaN,NaN,NaN
46,2000,656,-12,16,-0.75,-166.23529411764707,13.852941176470589,1,1,NaN
46,2002,470,-186,2,-93,32.94117647058823,-0.177103099304238,1,9,NaN
47,1992,604,-33,8,-4.125,-167.57142857142856,5.077922077922078,3,9,15
47,1993,196,-408,1,-408,261.14285714285717,-0.640056022408964,2,7,13
