# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
46,2002,470,-186,2,-93,112,17,6.588235294117647
46,2019,582,112,17,6.588235294117647,NaN,NaN,NaN
47,1984,637,NaN,NaN,NaN,-33,8,-4.125
47,1992,604,-33,8,-4.125,-408,1,-408
47,1993,196,-408,1,-408,199,2,99.5
47,1995,395,199,2,99.5,290,14,20.714285714285715
47,2009,685,290,14,20.714285714285715,76,10,7.6
47,2019,761,76,10,7.6,NaN,NaN,NaN
48,1984,666,NaN,NaN,NaN,-6,35,-0.171428571428571
48,2019,660,-6,35,-0.171428571428571,NaN,NaN,NaN
49,1984,-50,NaN,NaN,NaN,238,2,119
49,1986,188,238,2,119,337,6,56.166666666666664
49,1992,525,337,6,56.166666666666664,-204,2,-102
49,1994,321,-204,2,-102,-11,12,-0.916666666666667
49,2006,310,-11,12,-0.916666666666667,-622,1,-622
49,2007,-312,-622,1,-622,557,12,46.416666666666664
49,2019,245,557,12,46.416666666666664,NaN,NaN,NaN
50,1984,332,NaN,NaN,NaN,203,11,18.454545454545453
50,1995,535,203,11,18.454545454545453,-88,8,-11
50,2003,447,-88,8,-11,-236,1,-236
50,2004,211,-236,1,-236,360,1,360
50,2005,571,360,1,360,-58,12,-4.833333333333333
50,2017,513,-58,12,-4.833333333333333,135,2,67.5
50,2019,648,135,2,67.5,NaN,NaN,NaN
51,1984,567,NaN,NaN,NaN,-98,8,-12.25
51,1992,469,-98,8,-12.25,-171,1,-171
51,1993,298,-171,1,-171,308,1,308
51,1994,606,308,1,308,1,25,0.04
51,2019,607,1,25,0.04,NaN,NaN,NaN
52,1984,-100,NaN,NaN,NaN,31,18,1.722222222222222
52,2002,-69,31,18,1.722222222222222,319,1,319
52,2003,250,319,1,319,42,2,21
52,2005,292,42,2,21,-363,2,-181.5
52,2007,-71,-363,2,-181.5,-6,12,-0.5
52,2019,-77,-6,12,-0.5,NaN,NaN,NaN
53,1984,593,NaN,NaN,NaN,95,3,31.666666666666668
53,1987,688,95,3,31.666666666666668,-167,1,-167
53,1988,521,-167,1,-167,83,26,3.192307692307693
53,2014,604,83,26,3.192307692307693,-171,1,-171
53,2015,433,-171,1,-171,205,4,51.25
53,2019,638,205,4,51.25,NaN,NaN,NaN
54,1984,712,NaN,NaN,NaN,-101,35,-2.885714285714286
54,2019,611,-101,35,-2.885714285714286,NaN,NaN,NaN
55,1984,-189,NaN,NaN,NaN,0,4,0
55,1988,-189,0,4,0,245,2,122.5
55,1990,56,245,2,122.5,14,16,0.875
55,2006,70,14,16,0.875,-281,1,-281
55,2007,-211,-281,1,-281,254,12,21.166666666666668
55,2019,43,254,12,21.166666666666668,NaN,NaN,NaN
56,1984,499,NaN,NaN,NaN,66,12,5.5
56,1996,565,66,12,5.5,-590,1,-590
56,1997,-25,-590,1,-590,34,9,3.777777777777778
56,2006,9,34,9,3.777777777777778,341,2,170.5
56,2008,350,341,2,170.5,-73,11,-6.636363636363637
56,2019,277,-73,11,-6.636363636363637,NaN,NaN,NaN
57,1984,591,NaN,NaN,NaN,76,13,5.846153846153846
57,1997,667,76,13,5.846153846153846,-181,12,-15.083333333333334
57,2009,486,-181,12,-15.083333333333334,165,2,82.5
57,2011,651,165,2,82.5,-41,8,-5.125
57,2019,610,-41,8,-5.125,NaN,NaN,NaN
58,1984,-49,NaN,NaN,NaN,173,11,15.727272727272727
58,1995,124,173,11,15.727272727272727,-44,24,-1.833333333333333
58,2019,80,-44,24,-1.833333333333333,NaN,NaN,NaN
59,1984,550,NaN,NaN,NaN,-74,21,-3.523809523809524
59,2005,476,-74,21,-3.523809523809524,-596,1,-596
59,2006,-120,-596,1,-596,104,2,52
59,2008,-16,104,2,52,309,1,309
59,2009,293,309,1,309,0,10,0
59,2019,293,0,10,0,NaN,NaN,NaN
60,1984,-102,NaN,NaN,NaN,0,6,0
60,1990,-102,0,6,0,181,1,181
60,1991,79,181,1,181,-157,28,-5.607142857142857
60,2019,-78,-157,28,-5.607142857142857,NaN,NaN,NaN
61,1984,523,NaN,NaN,NaN,50,27,1.851851851851852
61,2011,573,50,27,1.851851851851852,164,2,82
61,2013,737,164,2,82,-277,1,-277
61,2014,460,-277,1,-277,0,5,0
61,2019,460,0,5,0,NaN,NaN,NaN
62,1984,25,NaN,NaN,NaN,50,23,2.173913043478261
62,2007,75,50,23,2.173913043478261,-231,1,-231
62,2008,-156,-231,1,-231,170,11,15.454545454545455
62,2019,14,170,11,15.454545454545455,NaN,NaN,NaN
63,1984,-15,NaN,NaN,NaN,139,14,9.928571428571429
63,1998,124,139,14,9.928571428571429,-308,1,-308
63,1999,-184,-308,1,-308,32,20,1.6
63,2019,-152,32,20,1.6,NaN,NaN,NaN
64,1984,776,NaN,NaN,NaN,-71,31,-2.290322580645161
64,2015,705,-71,31,-2.290322580645161,-779,1,-779
64,2016,-74,-779,1,-779,0,3,0
64,2019,-74,0,3,0,NaN,NaN,NaN
65,1984,503,NaN,NaN,NaN,-90,35,-2.571428571428572
65,2019,413,-90,35,-2.571428571428572,NaN,NaN,NaN
66,1984,618,NaN,NaN,NaN,95,31,3.064516129032258
66,2015,713,95,31,3.064516129032258,-772,1,-772
66,2016,-59,-772,1,-772,400,2,200
66,2018,341,400,2,200,-107,1,-107
66,2019,234,-107,1,-107,NaN,NaN,NaN
67,1984,580,NaN,NaN,NaN,13,31,0.419354838709677
67,2015,593,13,31,0.419354838709677,-652,1,-652
67,2016,-59,-652,1,-652,438,2,219
67,2018,379,438,2,219,-13,1,-13
67,2019,366,-13,1,-13,NaN,NaN,NaN
