# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true, postMetrics=false, regrowthMetrics=true
id, year, value, magnitude, duration, rate, indexRegrowth, recoveryIndicator, y2r60, y2r80, y2r100
124,2019,461,-34,15,-2.266666666666667,NaN,NaN,NaN,NaN,NaN
125,1998,617,-56,14,-4,-207,3.696428571428572,1,NaN,NaN
125,1999,410,-207,1,-207,-7.666666666666686,0.037037037037037,1,9,15
126,2011,520,-82,26,-3.153846153846154,-112,1.365853658536585,2,NaN,NaN
126,2012,328,-192,1,-192,85.66666666666669,-0.446180555555556,1,1,NaN
127,2002,249,-316,1,-316,203,-0.642405063291139,2,2,NaN
129,1990,226,-206,1,-206,391,-1.898058252427185,1,1,1
129,2019,509,-108,28,-3.857142857142857,NaN,NaN,NaN,NaN,NaN
130,2000,349,-273,1,-273,41,-0.15018315018315,1,NaN,NaN
132,2009,42,-211,5,-42.2,128.33333333333334,-0.608214849921011,1,1,1
132,2015,41,-401,5,-80.2,86,-0.214463840399002,1,NaN,NaN
132,2019,127,-213,3,-71,NaN,NaN,NaN,NaN,NaN
133,1995,738,-15,11,-1.363636363636364,-126.33333333333337,8.422222222222224,1,5,NaN
133,1996,456,-282,1,-282,165,-0.585106382978723,1,4,13
133,2019,726,-3,14,-0.214285714285714,NaN,NaN,NaN,NaN,NaN
134,2015,231,-478,1,-478,295,-0.617154811715481,1,NaN,NaN
135,1985,38,-301,1,-301,58,-0.192691029900332,11,NaN,NaN
135,2005,-147,-303,1,-303,-5.666666666666657,0.018701870187019,NaN,NaN,NaN
136,2000,289,-139,1,-139,84.66666666666669,-0.609112709832134,1,3,6
136,2011,233,-201,2,-100.5,214,-1.064676616915423,1,2,4
137,1990,-100,-688,6,-114.66666666666667,736.3333333333334,-1.070251937984496,1,1,4
137,1998,36,-746,3,-248.66666666666666,137.33333333333334,-0.184092940125112,1,1,1
137,2019,130,-723,2,-361.5,NaN,NaN,NaN,NaN,NaN
138,1993,-435,-752,1,-752,342.6666666666667,-0.455673758865248,15,NaN,NaN
138,2019,135,-68,11,-6.181818181818182,NaN,NaN,NaN,NaN,NaN
139,1993,235,-359,1,-359,397.66666666666663,-1.107706592386258,1,2,3
139,2000,395,-298,4,-74.5,299.66666666666663,-1.005592841163311,1,3,4
139,2019,625,-84,15,-5.6,NaN,NaN,NaN,NaN,NaN
140,2000,29,-88,14,-6.285714285714286,229.33333333333331,-2.606060606060606,1,1,1
140,2007,221,-93,4,-23.25,-375,4.032258064516129,NaN,NaN,NaN
140,2008,-289,-510,1,-510,135,-0.264705882352941,NaN,NaN,NaN
141,2001,165,-572,1,-572,321.3333333333333,-0.561771561771562,4,13,NaN
141,2003,98,-67,2,-33.5,380.6666666666667,-5.681592039800996,1,1,1
142,1992,-202,-793,1,-793,424.33333333333337,-0.53509878100042,13,24,NaN
143,2001,311,-284,1,-284,87.33333333333331,-0.307511737089202,4,13,NaN
144,2012,562,-56,28,-2,-174.66666666666669,3.11904761904762,1,NaN,NaN
144,2019,362,-200,7,-28.571428571428573,NaN,NaN,NaN,NaN,NaN
145,2015,562,-46,31,-1.483870967741935,-359,7.804347826086956,NaN,NaN,NaN
145,2016,-458,-1020,1,-1020,NaN,NaN,NaN,NaN,NaN
146,2019,39,-116,29,-4,NaN,NaN,NaN,NaN,NaN
147,2012,-64,-358,1,-358,96.66666666666666,-0.270018621973929,NaN,NaN,NaN
148,2015,-147,-736,1,-736,469,-0.637228260869565,NaN,NaN,NaN
149,1989,611,-47,5,-9.4,-263,5.595744680851064,NaN,NaN,NaN
149,1990,127,-484,1,-484,260,-0.537190082644628,6,7,14
149,2019,529,-15,22,-0.681818181818182,NaN,NaN,NaN,NaN,NaN
150,2019,644,-71,35,-2.028571428571428,NaN,NaN,NaN,NaN,NaN
151,1998,571,-42,14,-3,-427,10.166666666666666,NaN,NaN,NaN
